,0,0.7,1.9,2.35,4.28
30,76.14647627821282,90.31673511293636,91.2740036231884,90.26657129232237,89.42582987551867
40,75.3176525384257,89.74139676113361,79.85472818638647,89.63231615807905,88.63423710792131
50,76.33039443155454,91.63975782038344,88.25610859728508,91.53290766208252,84.53426791277258
60,73.91859001258916,86.06303602058318,83.00891127469973,83.08605709557301,75.6979395002192
70,74.52971137521223,91.36997319034853,83.46267525577869,82.12915601023019,77.08989726027397
80,69.2292526364053,91.42392986075296,83.05624446412756,82.34817012858556,83.76207792207794
90,65.12087912087912,84.53975465697411,80.23291437549096,79.22104404567699,73.53146853146853
100,67.0634376339477,84.92979452054794,82.77424300498276,83.18861512319455,71.15982532751093
