,0,0.1,0.13,0.15
30,85.28632784538297,70.44450934579439,86.9225736095965,96.7884872824632
40,81.69553072625698,72.70070011668611,89.40434552199258,94.73311688311688
50,88.47562776957164,80.0660216277746,92.42633567188344,96.56848874598072
60,87.19860627177701,80.98479532163742,95.28717672413794,102.03604193971165
70,98.39728958630528,85.24836988737403,99.59347345132744,104.74900133155793
80,94.00139275766017,75.35898942420681,88.70689655172413,98.76029216467464
90,93.38675213675214,82.79809976247031,99.18259935553169,103.10123296560675
100,93.01018181818182,88.37845622119815,101.54897739504844,101.84074319840744
