,0,0.9,2,3.48,4.46
30,66.0951048951049,78.41379310344828,83.7849255880941,79.68801955990219,64.43183984747378
40,66.56783216783217,76.67476383265856,83.17293233082708,78.4184120798831,65.98897411313519
50,68.34524660471766,76.37939221272555,81.824298160697,76.28824940047963,68.77348336594912
60,71.71408549404345,82.94874060980999,85.22758284600391,80.69037037037037,73.24585062240664
70,71.25402379286214,87.08750584932147,84.79132920438303,80.37092853670393,73.70184571699005
80,67.5558659217877,75.86454545454546,87.65774907749076,79.21277595115077,66.71680152308426
90,70.92990305741984,81.4794520547945,86.73661360347322,82.4293948126801,74.563184079602
100,76.64140350877193,90.48206278026905,92.65152247462541,88.68159448818898,81.84858490566037
