,x,y,w,h,protein,TE,avg_gray,25_gray,50_gray,75_gray
7,652,663,68,46,0.1,117,212.83750846310087,205.0,213.0,219.0
7,787,666,68,44,0.1,117,205.8169798190675,199.0,206.0,211.0
7,931,668,67,45,0.1,117,199.2150997150997,194.0,199.0,204.0
8,411,767,78,49,0.06,117,195.19235364396656,188.0,196.0,201.0
8,546,760,65,42,0.09,117,206.8312693498452,199.0,207.0,213.0
8,681,757,59,39,0.09,117,197.56158088235293,189.0,197.0,204.0
8,786,755,58,39,0.09,117,198.88997078870497,190.0,199.0,206.0
8,910,761,62,39,0.09,117,194.58767361111111,188.0,195.0,200.0
1,380,91,75,50,0.09,126,173.7661334804192,167.0,174.0,179.0
1,506,89,68,47,0.17,126,181.1839592616168,176.0,182.0,184.0
1,649,86,62,44,0.15,126,169.9976580796253,165.0,170.0,174.0
1,786,84,60,44,0.17,126,169.59348914858097,165.0,170.0,174.0
1,904,87,63,45,0.15,126,167.401766004415,163.0,168.0,170.0
1,1033,83,62,42,0.0,126,165.19646968534153,162.0,165.0,168.0
2,365,188,76,48,0.07,126,180.66295427901525,175.0,182.0,184.0
2,509,187,72,49,0.15,126,194.88869047619048,187.0,195.0,202.0
2,636,186,69,47,0.13,126,186.25446428571428,182.0,186.0,190.0
2,787,180,67,46,0.15,126,193.18596955658504,187.0,194.0,198.0
2,929,176,67,45,0.13,126,177.06167706167707,169.0,176.0,183.0
2,1045,181,66,41,0.0,126,175.46940298507462,167.0,175.0,181.0
3,369,288,77,49,0.08,126,184.59477866061295,177.0,185.0,190.0
3,503,286,75,48,0.14,126,198.28605769230768,189.0,198.0,206.0
3,644,292,72,50,0.13,126,184.1964705882353,176.0,184.0,190.0
3,785,278,69,47,0.14,126,196.9074686054197,188.0,197.0,204.0
3,917,274,68,45,0.13,126,186.33310719131615,182.0,186.0,190.0
4,369,384,81,52,0.07,126,186.22884012539186,178.0,186.0,193.0
4,505,380,74,48,0.13,126,184.17636786961583,177.0,184.0,189.0
4,648,380,72,47,0.12,126,195.4780252859723,187.0,195.0,202.0
4,788,375,71,47,0.13,126,195.87412587412587,188.0,196.0,202.0
4,926,378,69,47,0.12,126,184.02176781002638,179.0,184.0,188.0
5,375,486,78,49,0.07,126,184.59166666666667,174.0,186.0,191.0
5,504,483,76,49,0.12,126,191.4913594470046,183.0,192.0,197.0
5,649,473,74,49,0.11,126,196.06904906117504,189.0,196.0,202.0
5,794,470,71,47,0.12,126,190.5206611570248,185.0,190.0,195.0
5,935,472,70,46,0.11,126,180.15779345734444,175.0,180.0,184.0
6,372,576,80,50,0.06,126,184.76902607770091,178.0,186.0,188.0
6,508,577,75,51,0.11,126,191.22346996069624,183.0,191.0,198.0
6,648,571,72,47,0.1,126,191.2173913043478,182.0,191.0,197.0
6,784,573,70,48,0.11,126,192.6730888750777,186.0,192.0,198.0
6,932,570,70,45,0.1,126,179.96589446589448,175.0,180.0,183.0
7,385,674,78,51,0.07,126,183.85864424592748,177.0,184.0,188.0
7,529,669,73,48,0.1,126,201.4436137071651,190.0,201.0,209.0
7,652,663,68,46,0.1,126,212.95511049723757,205.0,213.0,219.0
7,787,666,68,44,0.1,126,205.71159217877096,200.0,206.0,210.0
7,931,669,67,44,0.1,126,196.50746268656715,190.0,197.0,201.0
8,411,767,78,49,0.06,126,192.116515232496,185.0,193.0,196.0
8,546,760,65,42,0.09,126,204.35201262825572,196.0,203.0,212.0
8,681,757,59,38,0.09,126,195.59235668789808,187.0,195.0,202.0
8,786,755,58,39,0.09,126,196.97214484679665,189.0,196.0,203.0
8,910,761,62,39,0.09,126,189.9701754385965,184.0,189.0,195.0
1,380,91,75,50,0.09,135,177.0693231441048,172.0,177.0,181.0
1,506,89,68,47,0.17,135,182.10495436766624,178.0,181.0,187.0
1,649,86,62,43,0.15,135,170.36209439528022,166.0,171.0,173.0
1,786,84,60,44,0.17,135,172.83333333333334,168.0,173.0,175.0
1,904,87,63,45,0.15,135,171.17328519855596,166.0,172.0,174.0
1,1033,83,62,42,0.0,135,167.57177615571777,164.0,168.0,171.0
2,366,188,75,48,0.07,135,184.247491638796,179.0,184.0,188.0
2,509,187,73,49,0.15,135,196.89316987740807,190.0,196.0,202.0
2,636,186,69,47,0.13,135,184.39304812834226,180.0,184.0,188.0
2,787,180,67,46,0.15,135,193.52547981469226,188.0,194.0,197.0
2,929,176,67,45,0.13,135,179.43892339544513,172.0,179.0,187.0
2,1045,181,65,41,0.0,135,175.7390625,169.0,175.0,180.0
3,369,288,77,49,0.08,135,188.84834398605463,181.0,189.0,194.0
3,503,286,75,49,0.14,135,199.47027027027028,192.0,199.0,205.0
3,644,292,72,50,0.13,135,184.81802325581396,177.0,185.0,191.0
3,785,278,69,47,0.14,135,198.14142091152814,190.0,198.0,205.0
3,917,274,68,45,0.13,135,187.32439678284183,182.0,187.0,191.0
4,369,384,81,52,0.07,135,190.22044088176352,183.0,190.0,195.0
4,505,380,74,48,0.13,135,183.36776859504133,177.0,183.0,189.0
4,648,380,72,47,0.12,135,195.53617810760667,187.0,195.0,202.0
4,788,375,71,46,0.13,135,196.97869593285992,189.0,197.0,204.0
4,926,378,69,47,0.12,135,186.28753351206436,181.0,187.0,190.0
5,375,486,78,49,0.07,135,187.66245883644348,178.0,189.0,194.0
5,504,483,76,49,0.12,135,192.66930917327292,186.0,193.0,198.0
5,649,473,74,49,0.11,135,196.48798076923077,191.0,197.0,201.0
5,794,470,71,47,0.12,135,192.49148264984228,187.0,193.0,198.0
5,935,472,70,46,0.11,135,181.79686479425212,176.0,181.0,186.0
6,372,576,80,50,0.06,135,187.3674418604651,180.0,188.0,192.0
6,508,577,75,51,0.11,135,193.25247524752476,186.0,193.0,199.0
6,648,571,72,47,0.1,135,191.90067859346084,184.0,192.0,198.0
6,784,573,70,48,0.11,135,193.65179132620992,187.0,194.0,199.0
6,932,570,70,45,0.1,135,182.24762550881954,177.0,182.0,186.0
7,385,674,78,51,0.07,135,186.28650749583565,181.0,187.0,191.0
7,530,669,72,48,0.1,135,202.09570552147238,193.0,202.0,209.0
7,652,663,68,46,0.1,135,214.7922261484099,206.0,215.0,221.0
7,787,666,68,44,0.1,135,205.76522929500342,200.0,206.0,211.0
7,931,668,67,45,0.1,135,199.38472418670437,194.0,199.0,204.0
8,411,767,78,49,0.06,135,196.18334264952486,190.0,196.0,200.0
8,546,760,65,42,0.09,135,209.19330289193303,200.0,208.0,217.0
8,681,757,59,39,0.09,135,198.5832549388523,191.0,198.0,205.0
8,787,755,57,39,0.09,135,198.90255439924314,190.0,198.0,206.0
8,910,761,62,39,0.09,135,194.36535162950258,187.0,194.0,200.0
1,380,91,75,50,0.09,144,169.12052505966588,163.0,169.0,174.0
1,506,89,68,47,0.17,144,177.1898976982097,173.0,177.0,180.0
1,649,86,62,43,0.15,144,166.1973791973792,162.0,167.0,169.0
1,786,84,60,43,0.17,144,166.40963855421685,163.0,167.0,169.0
1,904,87,63,45,0.15,144,163.94306049822063,161.0,164.0,167.0
1,1033,83,62,42,0.0,144,160.65328185328184,156.0,162.0,162.0
2,366,188,75,48,0.07,144,176.04648526077096,170.0,176.0,180.0
2,509,187,72,49,0.15,144,190.42222222222222,183.0,190.0,196.0
2,636,186,69,47,0.13,144,180.00338753387533,175.0,180.0,184.0
2,787,180,67,46,0.15,144,188.53211678832116,183.0,188.0,194.0
2,929,176,67,45,0.13,144,172.1537926235212,164.0,172.0,179.0
2,1045,181,65,41,0.0,144,171.03363914373088,163.0,171.0,176.0
3,369,288,77,49,0.08,144,180.67345783814375,172.0,182.0,186.0
3,503,286,75,49,0.14,144,194.38120567375887,186.0,195.0,201.0
3,644,292,72,50,0.13,144,178.6143470263642,171.0,178.0,186.0
3,785,278,69,47,0.14,144,192.20559531554977,184.0,191.0,199.0
3,917,274,69,46,0.13,144,182.1198606271777,177.0,182.0,186.0
4,369,384,81,52,0.07,144,181.50175262894342,175.0,181.0,187.0
4,505,380,73,48,0.13,144,177.64991023339317,170.0,177.0,183.0
