,x,y,w,h,protein,TE,avg_gray,25_gray,50_gray,75_gray
2,366,188,75,48,0.07,180,176.60871995528228,172.0,177.0,180.0
2,509,187,73,49,0.15,180,194.10404280618312,186.0,194.0,200.0
2,636,186,69,47,0.13,180,179.74358974358975,174.0,179.0,184.0
2,787,180,67,46,0.15,180,191.67043048694424,186.0,192.0,196.0
2,929,176,67,44,0.13,180,171.31527777777777,163.0,171.0,178.0
2,1045,181,65,41,0.0,180,168.41601866251943,160.0,170.0,172.0
3,369,288,77,49,0.08,180,181.61647727272728,175.0,183.0,185.0
3,503,286,75,49,0.14,180,197.4568709101725,190.0,198.0,204.0
3,644,292,72,50,0.13,180,180.10834813499113,172.0,179.0,186.0
3,785,278,69,47,0.14,180,195.01418439716312,187.0,194.0,201.0
3,917,274,68,45,0.13,180,182.10013531799729,178.0,182.0,186.0
4,370,384,80,52,0.07,180,181.74375955170657,175.0,182.0,187.0
4,505,380,73,48,0.13,180,175.4192972007147,170.0,176.0,181.0
4,648,380,72,47,0.12,180,192.15379901960785,184.0,192.0,199.0
4,788,375,71,47,0.13,180,194.33185560481317,186.0,194.0,200.0
4,926,378,69,47,0.12,180,180.89717223650385,177.0,180.0,185.0
5,375,486,78,49,0.07,180,180.18217934165722,170.0,182.0,185.0
5,504,483,76,49,0.12,180,187.76042841037204,180.0,187.0,194.0
5,649,473,74,49,0.11,180,191.82467532467533,186.0,192.0,196.0
5,794,470,71,47,0.12,180,187.27101631116687,182.0,186.0,192.0
5,935,472,70,46,0.11,180,176.09768637532133,171.0,176.0,180.0
6,372,576,80,50,0.06,180,178.7416909620991,172.0,179.0,184.0
6,508,577,75,51,0.11,180,187.47835738068812,179.0,187.0,194.0
6,648,571,72,47,0.1,180,185.48507462686567,177.0,185.0,192.0
6,784,573,69,48,0.11,180,190.44895370957514,184.0,191.0,196.0
6,932,570,69,45,0.1,180,175.77094240837695,171.0,176.0,179.0
7,385,674,78,51,0.07,180,178.57053941908714,173.0,178.0,182.0
7,530,669,72,48,0.1,180,196.4204322200393,186.0,198.0,204.0
7,652,663,68,46,0.1,180,213.1600817438692,206.0,213.0,218.0
7,786,666,69,45,0.1,180,204.7699564586357,199.0,205.0,210.0
7,931,668,67,45,0.1,180,197.81593794076164,191.0,198.0,203.0
8,411,767,78,49,0.06,180,187.94927536231884,180.0,189.0,192.0
8,546,760,65,42,0.09,180,202.2312,195.0,202.0,210.0
8,681,757,59,39,0.09,180,192.69202226345084,184.0,193.0,199.0
8,786,755,58,39,0.09,180,198.8720152817574,191.0,199.0,206.0
8,910,761,62,39,0.09,180,189.1396551724138,183.0,189.0,195.0
1,380,91,75,50,0.09,189,165.61274804570053,159.0,166.0,171.0
1,506,89,68,47,0.17,189,176.57362355953904,171.0,176.0,181.0
1,649,86,62,43,0.15,189,164.77358490566039,160.0,165.0,169.0
1,786,84,60,44,0.17,189,165.628125,160.0,165.0,171.0
1,904,87,63,45,0.15,189,164.28238944918542,159.0,164.0,169.0
1,1033,83,62,42,0.0,189,159.21819713563605,156.0,160.0,162.0
2,365,188,76,48,0.07,189,172.5571166768479,168.0,173.0,177.0
2,509,187,73,49,0.15,189,189.16371158392434,181.0,190.0,195.0
2,636,186,69,47,0.13,189,175.19663299663299,171.0,175.0,178.0
2,787,180,67,46,0.15,189,186.38346984363366,183.0,186.0,191.0
2,929,176,67,45,0.13,189,169.2897130860742,161.0,170.0,177.0
2,1045,181,65,41,0.0,189,168.40790454884416,160.0,170.0,173.0
3,369,288,77,49,0.08,189,178.28741800834825,171.0,179.0,184.0
3,503,286,75,48,0.14,189,193.65453460620526,186.0,194.0,200.0
3,644,292,72,50,0.13,189,176.53818400481057,171.0,177.0,182.0
3,785,278,69,47,0.14,189,192.1012574454004,184.0,192.0,198.0
3,917,274,68,45,0.13,189,179.9595667870036,176.0,180.0,184.0
4,369,384,81,52,0.07,189,179.23431372549018,172.0,178.0,185.0
4,505,380,73,48,0.13,189,171.28,163.0,171.0,177.0
4,648,380,72,47,0.12,189,187.33555825242718,179.0,186.0,194.0
4,788,375,71,47,0.13,189,191.19527760051054,184.0,191.0,197.0
4,926,378,69,47,0.12,189,179.35890593729152,174.0,179.0,183.0
5,375,486,78,49,0.07,189,179.00452232899943,169.0,180.0,185.0
5,504,483,76,49,0.12,189,184.44980800877673,178.0,184.0,190.0
5,649,473,74,49,0.11,189,187.61594643944005,183.0,187.0,192.0
5,794,470,71,46,0.12,189,184.0043997485858,177.0,184.0,189.0
5,935,472,70,46,0.11,189,173.14173228346456,168.0,172.0,178.0
6,372,576,80,50,0.06,189,178.80446927374302,172.0,179.0,184.0
6,508,577,75,51,0.11,189,185.3125,177.0,185.0,191.0
6,648,571,72,47,0.1,189,180.4641975308642,172.0,180.0,187.0
6,784,573,70,48,0.11,189,185.2614819350888,179.0,185.0,191.0
6,932,570,70,45,0.1,189,171.81403044341496,167.0,172.0,176.0
7,385,674,78,51,0.07,189,179.15500538213132,173.0,179.0,183.0
7,529,669,73,48,0.1,189,196.16248506571088,186.0,196.0,203.0
7,652,663,68,46,0.1,189,208.64399421128797,200.0,208.0,215.0
7,786,666,69,44,0.1,189,198.34277816171388,192.0,198.0,203.0
7,931,668,67,45,0.1,189,193.26812104152006,187.0,193.0,198.0
8,411,767,78,49,0.06,189,186.15375302663438,181.0,186.0,191.0
8,546,760,65,42,0.09,189,201.03870458135862,193.0,200.0,208.0
8,681,756,59,39,0.09,189,189.44340505144996,181.0,189.0,197.0
8,786,755,58,39,0.09,189,192.86037735849055,185.0,192.0,199.0
8,910,761,62,39,0.09,189,184.93100436681223,178.0,185.0,190.0
1,380,91,75,49,0.09,198,169.0807248764415,164.0,169.0,173.0
1,506,89,68,47,0.17,198,181.4512987012987,176.0,183.0,184.0
1,649,86,62,43,0.15,198,168.49577897160398,163.0,169.0,171.0
1,786,84,61,44,0.17,198,171.36913285600636,168.0,171.0,174.0
1,904,87,63,45,0.15,198,165.82357414448668,162.0,166.0,169.0
1,1033,83,62,42,0.0,198,159.56349206349208,156.0,160.0,161.0
2,366,188,75,48,0.07,198,175.04991491775382,170.0,175.0,178.0
2,509,187,73,49,0.15,198,195.13473053892216,187.0,195.0,202.0
2,636,186,69,47,0.13,198,180.49418604651163,175.0,180.0,184.0
2,787,180,67,46,0.15,198,193.00945945945946,188.0,192.0,197.0
2,929,176,67,44,0.13,198,171.07556497175142,164.0,170.0,178.0
2,1045,181,65,41,0.0,198,167.8671041837572,161.0,168.0,174.0
3,369,288,77,49,0.08,198,180.94141531322506,173.0,183.0,185.0
3,503,286,75,49,0.14,198,198.67476303317537,190.0,199.0,205.0
3,644,292,72,49,0.13,198,180.65473300970874,172.0,181.0,187.0
3,785,278,69,47,0.14,198,197.31675392670158,190.0,196.0,204.0
3,917,274,68,45,0.13,198,182.7238434163701,177.0,183.0,187.0
4,370,384,80,52,0.07,198,181.54008853910477,174.0,182.0,187.0
4,505,380,73,48,0.13,198,174.49155609167673,168.0,174.0,180.0
4,648,380,72,47,0.12,198,192.93033033033032,184.0,192.0,199.0
4,788,375,71,47,0.13,198,195.6801261829653,188.0,196.0,202.0
4,926,378,69,47,0.12,198,182.03059895833334,176.0,183.0,185.0
5,375,486,78,49,0.07,198,181.2014348785872,171.0,183.0,187.0
5,504,483,76,49,0.12,198,188.50167410714286,183.0,189.0,194.0
5,649,473,74,49,0.11,198,192.35248354278875,186.0,192.0,197.0
5,794,470,71,46,0.12,198,187.8372093023256,182.0,188.0,192.0
5,935,472,70,46,0.11,198,176.15847347994824,170.0,175.0,181.0
6,372,576,80,50,0.06,198,179.93392763502885,173.0,181.0,184.0
6,508,577,75,51,0.11,198,188.74827586206897,181.0,189.0,195.0
6,648,571,72,47,0.1,198,185.66044776119404,177.0,185.0,192.0
6,784,573,70,48,0.11,198,190.93269230769232,184.0,190.0,196.0
6,932,570,69,45,0.1,198,174.3965170797053,169.0,175.0,178.0
7,385,674,78,51,0.07,198,178.90784201488265,174.0,179.0,183.0
7,530,669,72,48,0.1,198,199.07337780473014,189.0,198.0,206.0
7,652,663,68,46,0.1,198,214.9902097902098,207.0,214.0,221.0
7,786,666,69,45,0.1,198,205.79207920792078,199.0,205.0,212.0
7,931,668,67,45,0.1,198,198.6315406976744,191.0,198.0,205.0
8,411,767,78,49,0.06,198,188.92798240791643,182.0,190.0,193.0
8,546,760,65,42,0.09,198,205.90742157612854,197.0,205.0,212.0
8,681,756,59,40,0.09,198,193.50092421441775,185.0,194.0,201.0
8,786,755,58,39,0.09,198,198.33428571428573,190.0,197.0,205.0
8,910,761,62,39,0.09,198,189.3924825174825,184.0,190.0,194.0
1,380,91,75,50,0.09,207,166.82021217197098,161.0,167.0,172.0
1,506,89,68,47,0.17,207,177.90078843626807,173.0,177.0,183.0
1,649,86,62,43,0.15,207,165.26384615384615,161.0,165.0,168.0
1,786,84,60,44,0.17,207,167.48458498023714,162.0,168.0,171.0
1,904,87,63,45,0.15,207,163.4658573596358,160.0,163.0,167.0
1,1033,83,62,42,0.0,207,157.4313725490196,154.0,159.0,161.0
2,365,188,76,48,0.07,207,173.1226851851852,168.0,174.0,177.0
2,509,187,72,49,0.15,207,191.77256317689532,184.0,191.0,198.0
2,636,186,69,47,0.13,207,174.0496688741722,169.0,174.0,178.0
2,787,180,67,46,0.15,207,188.7744708994709,183.0,189.0,192.0
2,929,176,67,44,0.13,207,169.1740350877193,161.0,169.0,175.0
2,1045,181,65,41,0.0,207,166.16641452344933,160.0,168.0,170.0
3,369,288,77,49,0.08,207,178.11049416990562,170.0,178.0,184.0
3,503,286,75,49,0.14,207,195.56441363373773,187.0,195.0,203.0
3,644,292,72,50,0.13,207,176.47518610421835,169.0,175.0,183.0
3,785,278,69,47,0.14,207,193.6673126614987,186.0,194.0,200.0
3,917,274,68,45,0.13,207,180.37235543018335,175.0,181.0,184.0
4,369,384,80,52,0.07,207,179.11428571428573,171.0,179.0,185.0
4,505,380,73,48,0.13,207,169.68114217727543,163.0,169.0,175.0
4,648,380,72,47,0.12,207,188.47444377630788,181.0,188.0,195.0
4,788,375,71,47,0.13,207,192.39167208848406,185.0,192.0,199.0
4,926,378,69,47,0.12,207,179.75115511551155,175.0,180.0,184.0
5,375,486,78,49,0.07,207,179.23242630385488,168.0,181.0,186.0
5,504,483,76,49,0.12,207,185.5303899082569,177.0,185.0,191.0
5,649,473,74,49,0.11,207,187.87463556851313,183.0,189.0,191.0
5,794,470,71,47,0.12,207,184.3181522446324,178.0,184.0,190.0
5,935,472,70,46,0.11,207,172.92852459016393,168.0,173.0,177.0
6,372,576,80,50,0.06,207,179.44578313253012,172.0,180.0,184.0
6,508,578,75,50,0.11,207,185.5444759206799,177.0,185.0,192.0
6,648,571,72,47,0.1,207,180.2583850931677,173.0,181.0,186.0
6,784,573,70,48,0.11,207,186.35940409683425,180.0,186.0,191.0
6,932,570,70,45,0.1,207,171.90434782608696,168.0,172.0,175.0
7,385,674,78,51,0.07,207,178.9065670048051,173.0,179.0,183.0
7,530,669,72,48,0.1,207,196.9820987654321,187.0,197.0,205.0
7,652,663,68,46,0.1,207,210.44927536231884,202.0,211.0,217.0
7,787,666,68,44,0.1,207,200.12526096033403,194.0,199.0,205.0
7,931,668,67,45,0.1,207,196.1917211328976,190.0,196.0,202.0
8,411,767,78,49,0.06,207,186.39375684556407,181.0,187.0,190.0
8,546,760,65,42,0.09,207,203.04481132075472,195.0,203.0,211.0
8,681,756,59,39,0.09,207,188.6993583868011,180.0,189.0,195.0
8,786,755,58,39,0.09,207,195.04418828049953,187.0,194.0,203.0
8,910,761,62,39,0.09,207,186.22758620689655,178.0,186.0,192.0
1,380,91,75,50,0.09,216,163.98969072164948,160.0,164.0,168.0
1,506,89,68,47,0.17,216,176.23276450511946,172.0,176.0,181.0
1,649,86,62,43,0.15,216,164.07822808671065,160.0,165.0,168.0
1,786,84,60,44,0.17,216,166.44006436041835,162.0,167.0,170.0
1,904,87,63,45,0.15,216,163.79242174629326,160.0,164.0,167.0
1,1033,83,62,42,0.0,216,155.93088363954504,153.0,156.0,159.0
2,366,188,75,48,0.07,216,169.6990005878895,166.0,169.0,173.0
2,509,187,73,49,0.15,216,190.49057714958775,183.0,190.0,196.0
2,636,186,69,47,0.13,216,175.3005148005148,169.0,175.0,179.0
2,787,180,67,46,0.15,216,188.1238095238095,183.0,189.0,192.0
2,929,176,67,44,0.13,216,166.48221906116643,160.0,166.0,173.0
2,1045,181,65,41,0.0,216,164.7968992248062,158.0,166.0,169.0
3,369,288,77,49,0.08,216,176.13884204609332,169.0,176.0,181.0
3,503,286,75,49,0.14,216,194.83206553540083,186.0,194.0,202.0
3,644,292,72,50,0.13,216,176.1769859813084,168.0,175.0,183.0
3,785,278,69,47,0.14,216,192.37308673469389,184.0,192.0,199.0
3,917,274,68,45,0.13,216,177.76933245208195,173.0,177.0,181.0
4,370,384,80,52,0.07,216,175.4587657018023,169.0,175.0,182.0
4,505,380,73,48,0.13,216,168.60897435897436,162.0,168.0,174.0
4,648,380,72,47,0.12,216,188.6630303030303,181.0,188.0,195.0
4,788,375,71,46,0.13,216,191.21597444089457,183.0,191.0,197.0
4,926,378,69,47,0.12,216,176.96108408617096,173.0,177.0,182.0
5,375,486,78,49,0.07,216,176.47359735973598,167.0,178.0,183.0
5,504,483,76,49,0.12,216,183.39619473978735,176.0,183.0,189.0
5,649,473,74,49,0.11,216,187.67564402810305,182.0,189.0,191.0
5,794,470,71,46,0.12,216,182.596547314578,176.0,183.0,188.0
5,935,472,70,46,0.11,216,170.48955613577024,166.0,170.0,175.0
6,372,576,80,50,0.06,216,174.7667714884696,168.0,175.0,180.0
6,508,578,75,50,0.11,216,184.6123348017621,175.0,184.0,191.0
6,648,571,72,47,0.1,216,180.5494923857868,172.0,181.0,187.0
6,784,573,70,48,0.11,216,185.59948979591837,179.0,185.0,190.0
6,932,570,70,45,0.1,216,168.94522378089513,165.0,168.0,173.0
7,385,674,78,51,0.07,216,174.78152654867256,169.0,175.0,179.0
7,529,669,73,48,0.1,216,194.84790874524714,186.0,196.0,203.0
7,652,663,68,46,0.1,216,210.88017118402283,204.0,212.0,217.0
7,787,666,68,45,0.1,216,200.87721788502483,194.0,200.0,206.0
7,931,668,67,45,0.1,216,194.21387696709584,189.0,194.0,199.0
8,411,767,78,49,0.06,216,185.09367816091955,178.0,186.0,190.0
8,546,760,65,42,0.09,216,202.8141660319878,194.0,202.0,210.0
8,681,756,59,39,0.09,216,188.97798165137615,180.0,189.0,196.0
8,786,755,58,39,0.09,216,193.31495327102803,184.0,192.0,200.0
8,910,761,62,39,0.09,216,183.25641025641025,177.0,183.0,188.0
1,380,91,75,50,0.09,225,168.22680995475113,161.0,168.0,173.0
1,506,89,68,48,0.17,225,180.10431893687706,175.0,181.0,184.0
1,649,86,62,43,0.15,225,167.65390625,164.0,168.0,170.0
1,786,84,61,44,0.17,225,168.43807919123842,164.0,169.0,172.0
1,904,87,63,45,0.15,225,164.77729573391179,160.0,166.0,167.0
1,1033,83,62,42,0.0,225,156.7906050955414,153.0,158.0,159.0
2,365,188,76,48,0.07,225,174.16987740805604,168.0,174.0,179.0
2,509,187,73,49,0.15,225,193.7921146953405,185.0,195.0,201.0
2,636,186,69,47,0.13,225,174.0646830530401,170.0,173.0,178.0
2,787,180,67,46,0.15,225,190.4811320754717,186.0,189.0,195.0
2,929,176,67,45,0.13,225,169.64570230607967,163.0,169.0,176.0
2,1045,181,65,41,0.0,225,166.12451361867704,160.0,166.0,171.0
3,369,288,77,49,0.08,225,179.40457589285714,171.0,181.0,185.0
3,503,286,75,49,0.14,225,197.20347826086956,188.0,197.0,203.0
3,644,292,72,50,0.13,225,177.1400730816078,170.0,177.0,183.0
3,785,278,69,47,0.14,225,194.75440888308296,187.0,195.0,201.0
3,917,274,68,45,0.13,225,181.3018354860639,175.0,182.0,185.0
4,369,384,80,52,0.07,225,179.3643292682927,171.0,180.0,186.0
4,505,380,73,48,0.13,225,169.41841955656622,163.0,168.0,175.0
4,648,380,72,47,0.12,225,189.62583790371724,181.0,189.0,197.0
4,788,375,71,47,0.13,225,193.54699738903395,186.0,194.0,200.0
4,926,378,69,47,0.12,225,181.20401757689893,175.0,181.0,185.0
5,375,486,78,49,0.07,225,179.8450292397661,170.0,182.0,187.0
5,504,483,76,49,0.12,225,185.86192952050837,180.0,186.0,191.0
5,649,473,74,49,0.11,225,188.49628712871288,182.0,188.0,194.0
5,794,470,71,47,0.12,225,185.00700636942676,180.0,185.0,190.0
5,935,472,70,46,0.11,225,174.88961892247045,169.0,174.0,180.0
6,372,576,80,50,0.06,225,179.64329580348004,173.0,181.0,183.0
6,508,577,75,51,0.11,225,186.5817142857143,179.0,186.0,193.0
6,649,571,71,47,0.1,225,180.84668335419275,173.0,181.0,187.0
6,784,573,70,48,0.11,225,187.3109954456734,181.0,187.0,194.0
6,932,570,70,45,0.1,225,173.49019607843138,169.0,173.0,177.0
7,385,674,78,51,0.07,225,179.59844155844155,173.0,180.0,183.0
7,530,669,72,48,0.1,225,197.18159357628164,187.0,197.0,205.0
7,652,663,68,46,0.1,225,213.33798882681563,205.0,213.0,220.0
7,787,666,68,44,0.1,225,202.7676008202324,197.0,203.0,208.0
7,931,668,67,45,0.1,225,199.55253752680485,195.0,199.0,204.0
8,411,767,78,49,0.06,225,186.5401098901099,181.0,187.0,190.0
8,546,760,65,42,0.09,225,203.44579226686884,196.0,203.0,211.0
8,681,757,59,38,0.09,225,190.63524976437324,182.0,190.0,197.0
8,786,755,58,39,0.09,225,197.91503267973857,190.0,197.0,204.0
8,910,761,62,39,0.09,225,188.43585237258347,182.0,188.0,194.0
1,380,91,75,50,0.09,27,185.8557268722467,180.0,187.0,190.0
1,506,89,68,48,0.17,27,184.86823222439662,180.0,185.0,188.0
1,649,86,62,43,0.15,27,173.74373484236054,169.0,175.0,177.0
1,786,84,60,44,0.17,27,173.01594896331738,168.0,173.0,176.0
1,904,87,63,45,0.15,27,173.647866955893,168.0,174.0,177.0
1,1033,83,62,42,0.0,27,178.1972049689441,175.0,179.0,181.0
2,365,188,76,48,0.07,27,194.6080229226361,189.0,195.0,199.0
2,509,188,72,48,0.15,27,199.22429906542055,192.0,199.0,206.0
2,636,186,69,47,0.13,27,197.8759842519685,193.0,198.0,201.0
2,787,180,67,46,0.15,27,197.51430472388557,193.0,197.0,201.0
2,929,176,67,45,0.13,27,189.3314724354501,181.0,189.0,196.0
2,1045,181,66,41,0.0,27,188.20614692653672,181.0,188.0,193.0
3,369,288,77,49,0.08,27,197.1140301844606,190.0,198.0,202.0
3,503,286,75,49,0.14,27,202.6514352665495,194.0,203.0,209.0
3,644,292,72,50,0.13,27,193.04961606615475,185.0,192.0,199.0
3,785,279,69,46,0.14,27,202.47330729166666,194.0,202.0,209.0
3,917,274,68,45,0.13,27,194.24623444662737,189.0,194.0,198.0
4,369,384,81,52,0.07,27,200.9934508816121,193.0,201.0,207.0
4,504,380,75,48,0.13,27,201.04176470588234,193.0,200.0,207.0
4,648,380,72,47,0.12,27,203.01343921808186,194.0,203.0,210.0
4,788,375,71,47,0.13,27,201.11962365591398,193.0,201.0,208.0
4,926,378,69,47,0.12,27,191.53003300330033,187.0,192.0,195.0
5,375,486,78,49,0.07,27,194.37919826652222,184.0,196.0,200.0
5,504,483,76,49,0.12,27,200.0393442622951,193.0,200.0,206.0
5,649,473,74,49,0.11,27,207.4742755765819,201.0,207.0,212.0
5,794,470,71,47,0.12,27,199.96234843650288,194.0,199.0,206.0
5,935,472,70,46,0.11,27,190.3034528552457,186.0,190.0,194.0
6,372,576,80,50,0.06,27,194.4745493107105,188.0,195.0,199.0
6,508,577,75,51,0.11,27,199.69603524229075,192.0,199.0,206.0
6,648,571,72,48,0.1,27,204.46900438321853,196.0,205.0,211.0
6,784,573,70,48,0.11,27,201.50507614213197,194.0,201.0,206.0
6,932,570,70,45,0.1,27,193.73231989424983,188.0,193.0,198.0
7,385,674,78,51,0.07,27,193.02065049044916,187.0,193.0,197.0
7,529,669,73,48,0.1,27,207.22431077694236,197.0,208.0,214.0
7,652,663,68,46,0.1,27,215.7027397260274,208.0,216.0,221.0
7,787,666,68,44,0.1,27,210.68705035971223,205.0,211.0,216.0
7,931,669,67,44,0.1,27,201.18692902319043,195.0,201.0,206.0
8,411,767,78,49,0.06,27,203.1310942578548,196.0,204.0,207.0
8,546,760,65,42,0.09,27,208.0015625,199.0,208.0,216.0
8,681,756,59,40,0.09,27,202.4409881061299,193.0,203.0,210.0
8,787,755,57,39,0.09,27,198.984126984127,190.0,198.0,206.0
8,910,761,62,39,0.09,27,201.26843910806176,194.0,201.0,207.0
1,380,91,75,50,0.09,36,181.17418263810598,174.0,182.0,186.0
1,506,89,68,47,0.17,36,181.7583278902678,177.0,182.0,186.0
1,649,86,62,43,0.15,36,171.746875,168.0,172.0,175.0
1,786,84,60,44,0.17,36,171.92680986475736,168.0,172.0,175.0
1,904,87,63,45,0.15,36,170.36705202312137,166.0,170.0,173.0
1,1033,83,62,42,0.0,36,174.86920152091255,171.0,175.0,177.0
2,365,188,76,48,0.07,36,189.62373887240355,185.0,190.0,193.0
2,509,188,72,48,0.15,36,196.6779560308972,189.0,196.0,202.0
2,636,186,69,47,0.13,36,192.10907944514503,188.0,191.0,196.0
2,787,180,67,46,0.15,36,193.44467073998644,188.0,194.0,197.0
2,929,176,67,45,0.13,36,185.57183499288763,178.0,185.0,192.0
2,1045,181,66,41,0.0,36,184.3216679076694,176.0,185.0,189.0
3,369,288,77,49,0.08,36,193.5949656750572,186.0,195.0,200.0
3,503,286,75,49,0.14,36,198.61802325581397,190.0,199.0,204.0
3,644,292,72,50,0.13,36,187.64048865619546,179.0,188.0,194.0
3,785,278,69,47,0.14,36,197.40738341968913,190.0,197.0,203.0
3,917,274,68,45,0.13,36,191.88977423638778,187.0,192.0,196.0
4,369,384,81,52,0.07,36,196.60208126858277,188.0,196.0,202.0
4,505,380,74,48,0.13,36,196.15852958070076,189.0,196.0,201.0
4,648,380,72,47,0.12,36,197.1721362229102,189.0,197.0,204.0
4,788,375,71,46,0.13,36,196.2775590551181,189.0,196.0,203.0
4,926,378,69,47,0.12,36,189.63782696177063,184.0,189.0,193.0
5,375,486,78,49,0.07,36,190.69402985074626,181.0,193.0,197.0
5,504,483,76,49,0.12,36,195.71740346950196,188.0,195.0,201.0
5,649,473,74,49,0.11,36,201.39456193353473,195.0,202.0,207.0
5,794,470,71,46,0.12,36,195.44958782498415,190.0,195.0,201.0
5,935,472,70,46,0.11,36,186.77123745819398,182.0,187.0,191.0
6,372,576,80,50,0.06,36,192.10088403536142,185.0,193.0,196.0
6,508,578,75,50,0.11,36,195.85099337748343,188.0,195.0,201.0
6,648,571,72,47,0.1,36,198.7092731829574,190.0,199.0,205.0
6,784,573,70,48,0.11,36,197.31289506953223,191.0,197.0,202.0
6,932,570,70,45,0.1,36,189.53468013468014,185.0,189.0,193.0
7,385,674,78,51,0.07,36,190.65886635465418,184.0,191.0,195.0
7,530,669,72,48,0.1,36,202.3427672955975,193.0,203.0,210.0
7,652,663,68,46,0.1,36,211.51020408163265,204.0,211.0,217.0
7,787,666,68,44,0.1,36,208.35658914728683,203.0,208.0,213.0
7,931,669,67,44,0.1,36,197.3078024337867,191.0,198.0,202.0
8,411,767,78,49,0.06,36,199.66310160427807,193.0,200.0,204.0
8,546,760,65,42,0.09,36,207.02719502719503,199.0,207.0,214.0
8,681,756,59,39,0.09,36,201.29310344827587,193.0,202.0,207.0
8,786,755,58,39,0.09,36,201.12034383954153,193.0,201.0,207.0
8,910,761,62,39,0.09,36,198.41571050308914,191.0,198.0,204.0
1,380,91,75,50,0.09,45,182.37250293772033,177.0,183.0,187.0
1,506,89,68,48,0.17,45,182.01967005076142,177.0,182.0,185.0
1,649,86,62,43,0.15,45,170.29832572298326,166.0,170.0,173.0
1,786,84,60,44,0.17,45,171.88509316770185,167.0,172.0,175.0
1,904,87,63,45,0.15,45,168.80555555555554,164.0,169.0,173.0
1,1033,83,62,42,0.0,45,172.17459016393443,168.0,173.0,175.0
2,365,188,76,48,0.07,45,190.13344594594594,185.0,190.0,194.0
2,509,187,73,49,0.15,45,196.3046080191502,189.0,197.0,202.0
2,636,186,69,47,0.13,45,191.32779552715655,187.0,191.0,195.0
2,787,180,67,46,0.15,45,193.94429530201342,189.0,193.0,198.0
2,929,176,67,45,0.13,45,183.78100072516315,176.0,184.0,191.0
2,1045,181,65,41,0.0,45,181.24295506473723,175.0,181.0,186.0
3,369,288,77,49,0.08,45,192.5153801508996,185.0,193.0,198.0
3,504,286,74,49,0.14,45,198.5043630017452,192.0,198.0,205.0
3,644,292,72,50,0.13,45,188.74476744186046,181.0,188.0,195.0
3,785,278,69,47,0.14,45,199.003300330033,191.0,199.0,205.0
3,917,274,68,45,0.13,45,189.04945799457994,185.0,189.0,193.0
4,369,384,81,52,0.07,45,195.60281280310377,189.0,195.0,201.0
4,505,380,74,48,0.13,45,194.48127128263337,187.0,194.0,200.0
4,648,380,72,47,0.12,45,199.52360774818402,191.0,199.0,205.0
4,788,375,71,47,0.13,45,197.62322580645161,191.0,197.0,204.0
4,926,378,69,47,0.12,45,187.26988265971318,182.0,187.0,191.0
5,375,486,78,49,0.07,45,189.40364439536168,180.0,191.0,195.0
5,504,483,76,49,0.12,45,195.64873765093304,189.0,196.0,201.0
5,649,473,74,49,0.11,45,202.69454329774615,197.0,203.0,207.0
5,794,470,71,47,0.12,45,195.69767441860466,190.0,196.0,201.0
5,935,472,70,46,0.11,45,185.4384105960265,181.0,186.0,190.0
6,372,576,80,50,0.06,45,189.52028762198253,184.0,190.0,194.0
6,508,577,75,51,0.11,45,194.8310810810811,188.0,195.0,201.0
6,648,571,72,48,0.1,45,199.75389408099687,192.0,199.0,206.0
6,784,573,70,48,0.11,45,196.59925093632958,190.0,196.0,202.0
6,932,570,70,45,0.1,45,188.5932085932086,184.0,188.0,192.0
7,385,674,78,51,0.07,45,187.77753779697625,183.0,188.0,192.0
7,529,669,73,48,0.1,45,203.1945107398568,193.0,204.0,210.0
7,652,663,68,46,0.1,45,213.1298969072165,206.0,213.0,218.0
7,787,666,68,44,0.1,45,206.8579197824609,201.0,206.0,212.0
7,931,669,67,44,0.1,45,197.3519313304721,191.0,197.0,203.0
8,411,767,78,49,0.06,45,197.62324536777092,191.0,198.0,202.0
8,546,760,65,42,0.09,45,205.91908876669285,198.0,206.0,213.0
8,681,756,59,40,0.09,45,198.76065276518585,191.0,198.0,205.0
8,787,755,57,39,0.09,45,196.0625,188.0,195.0,203.0
8,910,761,62,39,0.09,45,197.4553950722175,191.0,197.0,202.0
1,380,91,75,50,0.09,54,181.26618705035972,175.0,181.0,185.0
1,506,89,68,47,0.17,54,181.90949935815146,178.0,181.0,185.0
1,649,86,62,44,0.15,54,172.71471927162366,168.0,173.0,176.0
1,786,84,60,44,0.17,54,171.54674457429047,168.0,172.0,175.0
1,904,87,63,45,0.15,54,170.75258493353027,167.0,171.0,174.0
1,1033,83,63,42,0.0,54,174.48941368078175,170.0,175.0,178.0
2,365,188,76,48,0.07,54,187.94759036144578,183.0,188.0,192.0
2,509,188,73,48,0.15,54,195.5783625730994,188.0,195.0,201.0
2,636,186,69,47,0.13,54,191.4282131661442,187.0,191.0,195.0
2,787,180,67,46,0.15,54,193.27917282127032,188.0,193.0,198.0
2,929,176,67,45,0.13,54,184.2906976744186,176.0,184.0,192.0
2,1045,181,66,41,0.0,54,183.40014847809948,175.0,184.0,188.0
3,369,288,77,50,0.08,54,192.1792828685259,185.0,193.0,197.0
3,503,286,75,48,0.14,54,198.93348891481912,191.0,199.0,206.0
3,644,292,72,50,0.13,54,187.29103608847498,181.0,186.0,193.0
3,785,279,69,46,0.14,54,197.95868302130407,190.0,198.0,204.0
