,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
400,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),180,180.1821793416572,170.0,182.0,185.0
316,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),171,183.6955517042172,174.0,185.0,191.0
820,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),63,189.612846199175,180.0,192.0,196.0
274,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),162,179.1455525606469,171.0,181.0,187.0
862,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),72,189.6994601079784,180.0,192.0,197.0
778,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),54,189.7056837366348,180.0,191.0,196.0
358,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),18,195.88986301369863,186.0,197.0,202.0
568,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),216,176.47359735973598,167.0,178.0,183.0
148,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),135,187.66245883644348,178.0,189.0,194.0
64,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),117,186.69747416762343,176.0,188.0,194.0
610,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),225,179.8450292397661,170.0,182.0,187.0
484,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),198,181.2014348785872,171.0,183.0,187.0
988,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),90,189.7465258476932,179.0,191.0,197.0
106,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),126,184.59166666666667,174.0,186.0,191.0
1030,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),99,186.80563224737716,176.0,189.0,192.0
22,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),108,189.02029312288613,179.0,190.0,195.0
526,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),207,179.23242630385488,168.0,181.0,186.0
946,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),9,194.71803103263775,185.0,196.0,200.0
442,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),189,179.00452232899943,169.0,180.0,185.0
652,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),27,194.37919826652225,184.0,196.0,200.0
410,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),180,178.57053941908714,173.0,178.0,182.0
998,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),90,189.61194029850745,183.0,190.0,194.0
242,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),153,182.03894736842105,176.0,182.0,186.0
494,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),198,178.90784201488265,174.0,179.0,183.0
662,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),27,193.0206504904492,187.0,193.0,197.0
74,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),117,184.34122712594188,180.0,184.0,188.0
284,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),162,178.38586387434555,173.0,179.0,182.0
326,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),171,183.40805223068557,178.0,184.0,188.0
200,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),144,179.02975885069267,173.0,179.0,183.0
368,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),18,195.2135135135135,189.0,196.0,200.0
620,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),225,179.59844155844155,173.0,180.0,183.0
914,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),81,188.59573333333333,183.0,189.0,192.0
872,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),72,189.73692722371968,183.0,191.0,194.0
746,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),45,187.77753779697625,183.0,188.0,192.0
578,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),216,174.78152654867256,169.0,175.0,179.0
704,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),36,190.65886635465415,184.0,191.0,195.0
830,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),63,188.0077519379845,183.0,188.0,192.0
32,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),108,188.9418604651163,183.0,189.0,194.0
536,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),207,178.9065670048051,173.0,179.0,183.0
956,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),9,192.86915887850463,188.0,193.0,197.0
788,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),54,189.4324324324324,184.0,190.0,194.0
