,100,50,25,12.5,6.25,0
9,59.60980207351554,64.10113339145596,66.5788617886179,69.23354958294718,74.58751027115858,59.439862542955325
18,72.12468619246863,68.89349593495936,68.85132743362831,68.46567411083541,73.77185678601165,58.21057118499573
27,86.6961382113821,75.4986326344576,71.34025974025974,69.84310344827585,75.03780068728523,58.87649063032367
36,97.21812080536913,81.11566265060242,73.99745977984759,70.99404761904762,74.58813838550248,59.487179487179475
45,110.47610294117646,88.41651205936921,78.23702422145328,74.13214285714287,76.6479933110368,59.10845588235293
54,119.04113345521023,92.69210977701545,80.30684699915469,74.42389525368247,76.98701298701297,59.7070124879923
63,129.55576739752144,96.93142857142857,82.16346153846155,74.77312390924956,77.10592160133444,57.145814581458154
72,139.5420129270545,103.37367993501218,86.37994722955145,77.59329710144928,78.67219917012449,59.33363553943789
81,149.13454545454545,109.77980132450332,90.36772486772486,81.19903846153846,81.02300739523417,60.60149750415974
90,155.29921259842519,113.33577832110839,91.20265780730898,80.3540713632205,79.3064784053156,58.93027698185293
99,163.93793103448274,119.50972762645915,94.11690496215306,82.08666666666667,81.23624595469255,59.73284537968894
108,169.10341463414636,123.03127874885004,96.90697674418604,82.77497900923595,80.68512396694214,58.32634228187919
117,178.41958041958043,128.67157712305027,99.7826453243471,85.14214876033057,82.78331970564187,60.09241499564081
126,183.1195856873823,133.24850555081127,102.87832047986291,87.02504472271914,83.61371527777777,60.75859030837003
135,189.81305637982194,137.33670033670035,105.874022589053,89.46909090909091,85.0059171597633,60.75901495162708
144,194.4223484848485,140.99502487562188,107.98928571428573,89.1618398637138,84.06922435362802,60.57875116495805
153,197.8759894459103,143.9316309719934,109.35906642728904,89.26530612244898,84.44796003330558,57.994202898550725
162,204.20770010131713,149.6011235955056,112.7207130730051,92.30238500851789,86.2127659574468,60.643626570915615
171,208.17128712871286,152.5495829471733,114.95012897678419,93.47930082796688,87.43628318584072,59.121212121212125
180,212.76597582037996,156.9147571035747,117.82534246575344,95.47844463229077,88.06043046357615,61.53962600178093
189,212.8125,156.96189591078067,117.72805507745267,95.25523012552301,89.16840277777777,61.342752962625354
198,218.89449112978525,162.96675651392633,123.2994699646643,97.98299319727892,90.77967549103332,62.248613678373374
207,223.87511150758252,166.48474855729597,123.4805624483044,98.25618374558303,88.62743437764607,58.660621761658035
216,224.9076763485477,169.11411992263055,126.10333048676344,99.10490693739425,89.80720871751885,58.55849056603773
225,229.44557195571957,172.1995012468828,128.32079021636878,99.91376306620208,89.83433994823125,58.365724381625455
