,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
4,795,375,59,39,0.1302,clIscA1/clCry4(LB +FAC),117,207.04705882352943,198.0,206.0,213.0
4,932,379,60,40,0.1202,clIscA1/clCry4,117,194.58905299739357,189.0,195.0,198.0
5,385,487,68,44,0.0701,clIscA1/clCry4(LB +FAC),117,196.11135857461025,187.0,195.0,203.0
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),117,203.35800604229607,196.0,203.0,208.0
5,656,472,63,42,0.1101,clIscA1/clCry4,117,208.8045112781955,202.0,208.0,215.0
5,802,469,60,40,0.1202,clIscA1/clCry4(LB +FAC),117,199.41176470588235,194.0,199.0,204.0
5,942,472,59,39,0.1102,clIscA1/clCry4,117,189.47075208913648,184.0,189.0,195.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),117,200.4065708418891,194.0,200.0,206.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),117,202.26446280991735,194.0,202.0,209.0
6,655,572,61,40,0.1001,clIscA1/clCry4,117,198.0017316017316,191.0,197.0,205.0
6,788,574,60,41,0.1102,clIscA1/clCry4(LB +FAC),117,197.75276125743414,193.0,197.0,203.0
6,939,571,59,38,0.1002,clIscA1/clCry4,117,187.17084493964717,182.0,187.0,191.0
7,394,675,68,44,0.0702,clIscA1/clCry4(LB +FAC),117,199.90148830616585,192.0,199.0,205.0
7,538,669,61,40,0.1001,clIscA1/clCry4(LB +FAC),117,203.7576530612245,193.0,203.0,213.0
7,658,664,58,38,0.1003,clIscA1/clCry4,117,209.11328125,204.0,208.0,215.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),117,202.94586894586894,196.0,204.0,208.0
7,940,670,55,38,0.1004,clIscA1/clCry4,117,199.45845845845847,193.0,200.0,205.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),117,195.0603096984515,185.0,196.0,204.0
8,552,760,54,36,0.0901,clIscA1/clCry4(LB +FAC),117,192.8649835345774,184.0,193.0,201.0
8,690,758,48,33,0.0902,clIscA1/clCry4,117,182.63967611336034,174.0,184.0,188.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),117,186.11409395973155,176.0,186.0,194.0
8,917,763,51,32,0.0903,clIscA1/clCry4,117,186.39125,180.0,186.0,192.0
1,390,93,64,42,0.0901,clIscA1/clCry4,126,183.27137254901962,174.0,184.0,188.0
1,512,90,56,40,0.1701,clIscA1/clCry4(LB +FAC),126,179.7563025210084,174.0,180.0,185.0
1,657,87,51,35,0.1501,clIscA1/clCry4,126,159.96493349455864,154.0,161.0,164.0
1,794,85,50,35,0.1702,clIscA1/clCry4(LB +FAC),126,162.58949880668257,156.0,163.0,167.0
1,909,88,54,37,0.1502,clIscA1/clCry4,126,165.9144329896907,162.0,166.0,170.0
1,1037,85,51,34,0.0001,clIscA1,126,174.03245192307693,168.0,174.0,177.0
2,376,188,63,41,0.0701,clIscA1/clCry4,126,195.1839464882943,190.0,195.0,199.0
2,518,188,61,41,0.1501,clIscA1/clCry4(LB +FAC),126,201.68342951360265,194.0,202.0,207.0
2,640,187,60,40,0.1301,clIscA1/clCry4,126,184.1986417657046,179.0,185.0,187.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),126,195.21293532338308,192.0,195.0,198.0
2,939,177,55,36,0.1302,clIscA1/clCry4,126,180.70454545454547,173.0,182.0,186.0
2,1048,183,54,35,0.0002,clIscA1,126,176.07575757575756,168.0,176.0,182.0
3,380,289,66,42,0.0801,clIscA1/clCry4,126,195.84316770186336,187.0,196.0,202.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),126,210.5821862348178,204.0,211.0,216.0
3,652,295,60,42,0.1303,clIscA1/clCry4,126,189.54882154882154,184.0,189.0,195.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),126,204.7579737335835,198.0,205.0,209.0
3,922,274,58,39,0.1304,clIscA1/clCry4,126,192.26223091976516,186.0,193.0,197.0
4,380,384,69,46,0.0702,clIscA1/clCry4,126,192.09402283411686,185.0,193.0,198.0
4,512,381,62,40,0.1301,clIscA1/clCry4(LB +FAC),126,192.21212121212122,186.0,192.0,197.0
4,656,381,61,40,0.1201,clIscA1/clCry4,126,206.03201347935973,198.0,205.0,213.0
4,795,375,60,39,0.1302,clIscA1/clCry4(LB +FAC),126,203.51606978879707,196.0,204.0,210.0
4,932,379,60,40,0.1202,clIscA1/clCry4,126,192.27304964539007,186.0,193.0,196.0
5,385,487,68,44,0.0701,clIscA1/clCry4(LB +FAC),126,193.81683899556867,184.0,194.0,201.0
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),126,201.34839650145773,195.0,201.0,206.0
5,656,472,63,42,0.1101,clIscA1/clCry4,126,205.5818181818182,198.0,205.0,211.0
5,802,470,60,39,0.1202,clIscA1/clCry4(LB +FAC),126,197.66184448462928,194.0,197.0,203.0
5,942,472,59,39,0.1102,clIscA1/clCry4,126,186.82774674115456,183.0,186.0,191.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),126,199.10413793103447,192.0,198.0,205.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),126,201.57566539923954,195.0,202.0,207.0
6,655,572,61,39,0.1001,clIscA1/clCry4,126,194.4546218487395,187.0,195.0,201.0
6,789,574,59,41,0.1102,clIscA1/clCry4(LB +FAC),126,194.35489361702128,187.0,195.0,199.0
6,939,571,59,38,0.1002,clIscA1/clCry4,126,186.27985414767548,180.0,186.0,191.0
7,394,675,67,44,0.0702,clIscA1/clCry4(LB +FAC),126,197.57284299858557,189.0,197.0,204.0
7,538,669,62,40,0.1001,clIscA1/clCry4(LB +FAC),126,204.50169491525423,195.0,204.0,213.0
7,659,664,57,38,0.1003,clIscA1/clCry4,126,205.95436893203885,198.0,205.0,212.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),126,199.9158878504673,193.0,200.0,205.0
7,940,670,55,38,0.1004,clIscA1/clCry4,126,197.676906779661,192.0,198.0,203.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),126,193.74328358208956,184.0,194.0,201.0
8,552,760,54,36,0.0901,clIscA1/clCry4(LB +FAC),126,192.5509977827051,184.0,192.0,201.0
8,690,757,48,34,0.0902,clIscA1/clCry4,126,179.532722513089,170.0,180.0,186.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),126,182.7724795640327,173.0,183.0,190.0
8,917,763,51,32,0.0903,clIscA1/clCry4,126,184.66172839506171,178.0,185.0,189.0
1,390,93,64,42,0.0901,clIscA1/clCry4,135,180.9687235841082,173.0,183.0,185.0
1,511,90,57,39,0.1701,clIscA1/clCry4(LB +FAC),135,175.42649727767696,171.0,174.0,179.0
1,657,87,51,35,0.1501,clIscA1/clCry4,135,160.42617046818728,155.0,161.0,164.0
1,794,85,50,36,0.1702,clIscA1/clCry4(LB +FAC),135,161.852286049238,155.0,163.0,166.0
1,910,88,53,37,0.1502,clIscA1/clCry4,135,164.29224229543038,160.0,164.0,168.0
1,1037,85,51,34,0.0001,clIscA1,135,171.96004700352526,165.0,173.0,176.0
2,375,188,65,41,0.0701,clIscA1/clCry4,135,192.16999201915402,186.0,193.0,195.0
2,518,188,61,41,0.1501,clIscA1/clCry4(LB +FAC),135,196.4360902255639,189.0,196.0,202.0
2,640,187,59,40,0.1301,clIscA1/clCry4,135,180.85131690739166,175.0,181.0,185.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),135,194.21000981354268,189.0,195.0,197.0
2,939,177,55,36,0.1302,clIscA1/clCry4,135,178.4195652173913,173.0,178.0,185.0
2,1048,183,54,34,0.0002,clIscA1,135,174.4013230429989,167.0,175.0,181.0
3,380,289,66,42,0.0801,clIscA1/clCry4,135,192.43245341614906,184.0,193.0,198.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),135,206.21603927986908,198.0,206.0,212.0
3,652,295,60,42,0.1303,clIscA1/clCry4,135,187.34742180896026,183.0,187.0,193.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),135,202.54768392370573,195.0,203.0,207.0
3,922,274,58,39,0.1304,clIscA1/clCry4,135,190.3755868544601,185.0,190.0,195.0
4,381,384,68,46,0.0702,clIscA1/clCry4,135,190.21475195822455,182.0,191.0,195.0
4,512,381,62,40,0.1301,clIscA1/clCry4(LB +FAC),135,186.90953150242328,179.0,186.0,193.0
4,656,381,61,40,0.1201,clIscA1/clCry4,135,203.58768971332208,195.0,204.0,210.0
4,795,375,59,39,0.1302,clIscA1/clCry4(LB +FAC),135,202.64177777777778,196.0,203.0,208.0
4,932,379,60,40,0.1202,clIscA1/clCry4,135,191.13893967093236,186.0,191.0,195.0
5,385,487,68,44,0.0701,clIscA1/clCry4(LB +FAC),135,190.54754829123328,181.0,191.0,198.0
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),135,197.32648401826484,192.0,196.0,203.0
5,656,472,63,42,0.1101,clIscA1/clCry4,135,202.34156378600824,195.0,204.0,207.0
5,802,469,60,40,0.1202,clIscA1/clCry4(LB +FAC),135,194.66846846846846,188.0,195.0,199.0
5,942,472,59,39,0.1102,clIscA1/clCry4,135,184.77264325323475,177.0,185.0,189.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),135,194.87938288920057,187.0,195.0,201.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),135,196.64913598797895,189.0,195.0,204.0
6,655,572,61,39,0.1001,clIscA1/clCry4,135,192.7173913043478,185.0,193.0,198.0
6,789,574,59,41,0.1102,clIscA1/clCry4(LB +FAC),135,193.75930735930737,186.0,195.0,198.0
6,939,571,59,38,0.1002,clIscA1/clCry4,135,183.0865561694291,176.0,184.0,187.0
7,394,675,67,44,0.0702,clIscA1/clCry4(LB +FAC),135,194.48041389504803,187.0,195.0,200.0
7,538,669,62,40,0.1001,clIscA1/clCry4(LB +FAC),135,197.62792642140468,186.0,196.0,206.0
7,658,664,58,38,0.1003,clIscA1/clCry4,135,203.82924435721296,197.0,205.0,209.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),135,199.88532110091742,193.0,200.0,205.0
7,940,670,55,38,0.1004,clIscA1/clCry4,135,196.53366834170853,189.0,196.0,201.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),135,190.87121212121212,181.0,192.0,198.0
8,552,760,54,35,0.0901,clIscA1/clCry4(LB +FAC),135,186.5071350164654,177.0,185.0,194.0
8,690,758,48,33,0.0902,clIscA1/clCry4,135,176.83079056865463,169.0,177.0,183.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),135,182.98601398601397,175.0,184.0,190.0
8,917,763,51,32,0.0903,clIscA1/clCry4,135,181.83059418457648,174.0,182.0,187.0
1,390,93,64,42,0.0901,clIscA1/clCry4,144,186.94369547977794,180.0,187.0,192.0
1,512,90,56,40,0.1701,clIscA1/clCry4(LB +FAC),144,181.5077071290944,177.0,182.0,184.0
1,657,86,51,36,0.1501,clIscA1/clCry4,144,162.31674208144796,157.0,162.0,168.0
1,794,85,50,36,0.1702,clIscA1/clCry4(LB +FAC),144,166.26231527093597,160.0,167.0,171.0
1,909,88,54,37,0.1502,clIscA1/clCry4,144,169.69271383315734,164.0,171.0,172.0
1,1037,85,51,34,0.0001,clIscA1,144,174.69537275064266,170.0,175.0,180.0
2,376,188,63,41,0.0701,clIscA1/clCry4,144,195.76609616951916,191.0,195.0,201.0
2,518,188,61,41,0.1501,clIscA1/clCry4(LB +FAC),144,204.60411522633746,198.0,204.0,210.0
2,640,187,59,40,0.1301,clIscA1/clCry4,144,185.73339085418465,181.0,185.0,190.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),144,200.85672514619884,194.0,202.0,204.0
2,939,177,55,36,0.1302,clIscA1/clCry4,144,183.6125,178.0,183.0,191.0
2,1048,183,54,35,0.0002,clIscA1,144,176.4836527621195,170.0,176.0,183.0
3,380,289,65,42,0.0801,clIscA1/clCry4,144,197.31958762886597,190.0,197.0,203.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),144,214.26196269261962,206.0,214.0,220.0
3,652,295,60,42,0.1303,clIscA1/clCry4,144,192.08813838550248,187.0,192.0,196.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),144,209.13357731015554,202.0,209.0,214.0
3,922,274,58,39,0.1304,clIscA1/clCry4,144,194.32575757575756,188.0,194.0,200.0
4,381,384,68,46,0.0702,clIscA1/clCry4,144,193.82202771699488,186.0,193.0,202.0
4,512,381,62,40,0.1301,clIscA1/clCry4(LB +FAC),144,192.3227344992051,185.0,192.0,198.0
4,656,381,61,40,0.1201,clIscA1/clCry4,144,208.93955094991364,202.0,208.0,216.0
4,795,375,59,39,0.1302,clIscA1/clCry4(LB +FAC),144,208.66426642664266,201.0,209.0,214.0
4,932,379,60,40,0.1202,clIscA1/clCry4,144,195.02120141342755,191.0,195.0,199.0
5,386,487,67,44,0.0701,clIscA1/clCry4(LB +FAC),144,196.37408491947292,186.0,196.0,204.0
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),144,204.61271249076128,197.0,203.0,211.0
5,656,472,63,42,0.1101,clIscA1/clCry4,144,208.8562091503268,201.0,209.0,215.0
5,802,469,60,40,0.1202,clIscA1/clCry4(LB +FAC),144,200.23647469458987,192.0,201.0,205.0
5,942,472,59,39,0.1102,clIscA1/clCry4,144,188.2157598499062,182.0,189.0,192.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),144,202.2498265093685,193.0,203.0,208.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),144,203.81942336874053,195.0,203.0,212.0
6,655,572,61,39,0.1001,clIscA1/clCry4,144,196.1381074168798,191.0,195.0,202.0
6,789,574,59,41,0.1102,clIscA1/clCry4(LB +FAC),144,197.59383033419024,191.0,197.0,203.0
6,939,571,59,38,0.1002,clIscA1/clCry4,144,187.2670401493931,182.0,187.0,192.0
7,394,675,67,44,0.0702,clIscA1/clCry4(LB +FAC),144,200.89451176051318,193.0,202.0,207.0
7,538,669,62,41,0.1001,clIscA1/clCry4(LB +FAC),144,208.0371650821089,197.0,207.0,217.0
7,659,664,57,39,0.1003,clIscA1/clCry4,144,210.54122211445198,203.0,210.0,217.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),144,203.7952029520295,197.0,203.0,209.0
7,940,670,55,38,0.1004,clIscA1/clCry4,144,201.878125,194.0,203.0,207.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),144,195.52849740932643,186.0,194.0,203.0
8,552,760,54,35,0.0901,clIscA1/clCry4(LB +FAC),144,196.56236559139785,187.0,195.0,204.0
8,690,758,48,33,0.0902,clIscA1/clCry4,144,181.73472222222222,173.0,182.0,189.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),144,186.81805745554036,177.0,187.0,193.0
8,918,763,50,32,0.0903,clIscA1/clCry4,144,186.58270676691728,181.0,186.0,192.0
1,390,93,64,41,0.0901,clIscA1/clCry4,153,183.02055921052633,176.0,183.0,188.0
1,512,90,56,40,0.1701,clIscA1/clCry4(LB +FAC),153,180.24118738404454,174.0,182.0,183.0
1,657,86,51,36,0.1501,clIscA1/clCry4,153,161.07411630558724,155.0,161.0,165.0
1,795,85,49,36,0.1702,clIscA1/clCry4(LB +FAC),153,163.96193771626298,158.0,164.0,169.0
1,910,88,53,37,0.1502,clIscA1/clCry4,153,168.68788501026694,163.0,170.0,172.0
1,1037,85,51,34,0.0001,clIscA1,153,174.32675709001234,170.0,174.0,180.0
2,376,188,63,41,0.0701,clIscA1/clCry4,153,194.59618441971384,191.0,194.0,199.0
2,518,188,61,41,0.1501,clIscA1/clCry4(LB +FAC),153,200.85879438480595,193.0,202.0,206.0
2,640,187,59,40,0.1301,clIscA1/clCry4,153,182.25849731663686,178.0,182.0,186.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),153,197.2650142993327,191.0,197.0,203.0
2,939,177,55,36,0.1302,clIscA1/clCry4,153,180.8683651804671,173.0,182.0,186.0
2,1048,183,54,35,0.0002,clIscA1,153,176.11627906976744,169.0,175.0,182.0
3,380,289,66,42,0.0801,clIscA1/clCry4,153,195.59875097580016,188.0,195.0,202.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),153,210.59518072289157,203.0,211.0,216.0
3,652,295,60,43,0.1303,clIscA1/clCry4,153,189.39598393574298,183.0,191.0,193.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),153,206.1047794117647,200.0,205.0,212.0
3,922,274,58,39,0.1304,clIscA1/clCry4,153,192.0283203125,185.0,193.0,196.0
4,381,384,68,46,0.0702,clIscA1/clCry4,153,191.42550422901758,183.0,192.0,197.0
4,512,381,62,41,0.1301,clIscA1/clCry4(LB +FAC),153,187.98368678629691,181.0,188.0,193.0
4,656,381,61,40,0.1201,clIscA1/clCry4,153,206.12151898734177,200.0,204.0,213.0
4,795,375,59,39,0.1302,clIscA1/clCry4(LB +FAC),153,206.35204991087343,198.0,206.0,212.0
4,932,379,60,40,0.1202,clIscA1/clCry4,153,193.30313588850174,189.0,192.0,197.0
5,386,487,67,44,0.0701,clIscA1/clCry4(LB +FAC),153,194.07485465116278,184.0,194.0,201.0
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),153,200.04923076923077,193.0,200.0,206.0
5,657,472,62,42,0.1101,clIscA1/clCry4,153,205.0130505709625,199.0,204.0,210.0
5,802,470,60,39,0.1202,clIscA1/clCry4(LB +FAC),153,196.56339285714284,191.0,196.0,202.0
5,942,473,59,38,0.1102,clIscA1/clCry4,153,186.76308277830637,181.0,187.0,192.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),153,199.15997229916897,191.0,200.0,205.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),153,200.75092936802974,192.0,201.0,207.0
6,655,572,61,39,0.1001,clIscA1/clCry4,153,193.22163120567376,186.0,192.0,200.0
6,789,574,59,41,0.1102,clIscA1/clCry4(LB +FAC),153,195.6720890410959,191.0,194.0,202.0
6,939,571,59,38,0.1002,clIscA1/clCry4,153,184.6442396313364,179.0,184.0,189.0
7,394,675,67,44,0.0702,clIscA1/clCry4(LB +FAC),153,198.47727272727272,191.0,198.0,204.0
7,538,669,61,40,0.1001,clIscA1/clCry4(LB +FAC),153,202.35973597359737,190.0,202.0,213.0
7,658,664,58,38,0.1003,clIscA1/clCry4,153,209.30481809242872,203.0,208.0,215.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),153,202.78650646950092,194.0,203.0,208.0
7,940,670,56,38,0.1004,clIscA1/clCry4,153,199.628,192.0,200.0,205.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),153,194.01934523809524,183.0,193.0,203.0
8,552,760,54,35,0.0901,clIscA1/clCry4(LB +FAC),153,193.05245901639344,183.0,192.0,202.0
8,690,758,48,33,0.0902,clIscA1/clCry4,153,181.38565629228688,172.0,182.0,187.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),153,185.72465753424657,176.0,186.0,192.0
8,917,763,51,32,0.0903,clIscA1/clCry4,153,184.10849673202614,178.0,184.0,191.0
1,390,93,64,41,0.0901,clIscA1/clCry4,162,180.54684975767367,172.0,182.0,185.0
1,511,90,57,40,0.1701,clIscA1/clCry4(LB +FAC),162,180.23446327683615,174.0,182.0,183.0
1,657,87,51,35,0.1501,clIscA1/clCry4,162,159.49778270509978,154.0,160.0,162.0
1,794,85,50,36,0.1702,clIscA1/clCry4(LB +FAC),162,162.01112484548827,157.0,162.0,167.0
1,910,88,53,37,0.1502,clIscA1/clCry4,162,164.20752688172044,159.0,164.0,169.0
1,1037,85,51,34,0.0001,clIscA1,162,169.53550640279394,163.0,170.0,173.0
2,375,188,65,41,0.0701,clIscA1/clCry4,162,190.85,184.0,192.0,194.0
2,518,188,62,41,0.1501,clIscA1/clCry4(LB +FAC),162,201.123322147651,193.0,202.0,207.0
2,640,187,59,40,0.1301,clIscA1/clCry4,162,181.02854671280278,176.0,181.0,184.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),162,195.45382323733864,191.0,195.0,201.0
2,939,177,55,36,0.1302,clIscA1/clCry4,162,178.0031380753138,171.0,179.0,182.0
2,1048,183,54,34,0.0002,clIscA1,162,170.74190064794817,162.0,171.0,177.0
3,380,289,66,42,0.0801,clIscA1/clCry4,162,192.43112840466927,184.0,192.0,199.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),162,210.01119104716227,202.0,210.0,216.0
3,652,295,60,43,0.1303,clIscA1/clCry4,162,188.38244766505636,182.0,189.0,192.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),162,204.95140186915887,199.0,204.0,210.0
3,922,274,58,39,0.1304,clIscA1/clCry4,162,189.26146341463414,182.0,191.0,194.0
4,380,384,69,46,0.0702,clIscA1/clCry4,162,188.45872170439415,181.0,190.0,193.0
4,512,381,62,41,0.1301,clIscA1/clCry4(LB +FAC),162,187.3168,181.0,187.0,192.0
4,656,381,61,40,0.1201,clIscA1/clCry4,162,204.77222692633362,197.0,203.0,212.0
