,0.0001,0.0002,0.0701,0.0702,0.0801,0.0901,0.0902,0.0903,0.1001,0.1002,0.1003,0.1004,0.1101,0.1102,0.1201,0.1202,0.1301,0.1302,0.1303,0.1304,0.1501,0.1502
9,77.2617124394184,67.7185128983308,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
18,74.15935334872975,63.90570342205319,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
27,76.8027950310559,66.79385307346328,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
36,80.13079847908745,70.6783320923306,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
45,82.82540983606555,73.75704493526277,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
54,80.51058631921825,71.59985152190052,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
63,82.78971962616822,73.9468412942989,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
72,82.06315789473683,72.3189591078067,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
81,83.11711711711712,73.29299847793001,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
90,84.13093289689036,73.57403189066059,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
99,87.05467511885897,79.54650269023827,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
108,83.74439024390244,72.54360902255641,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
117,87.64725457570717,79.40861812778604,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
126,89.80353031465847,79.53059701492538,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
135,87.42822384428223,79.26093750000001,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
144,94.34671814671816,83.96636085626912,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
153,91.03956555469355,83.64873174481167,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
162,96.48760330578511,85.24905944319036,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
171,91.76119402985074,83.46495855312736,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
180,97.38140267927503,86.58398133748057,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
189,95.78180286436395,86.59209545115584,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
198,95.43650793650792,87.13289581624281,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
207,97.56862745098039,88.83358547655067,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
216,99.06911636045496,90.2031007751938,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
225,98.2093949044586,88.87548638132296,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
