,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
1,369,45,66,50,1.74,clIscA1,108,176.66038961038961,173.0,177.0,178.0
1,504,48,66,50,0.53,clIscA1,108,185.02338811630847,181.0,186.0,186.0
1,636,56,63,50,1.24,clIscA1,108,185.52937336814622,182.0,186.0,187.0
1,763,57,65,51,3.48,clIscA1,108,187.10676392572944,185.0,187.0,191.0
1,895,52,70,54,0.75,clIscA1,108,179.54602630074328,171.0,178.0,186.0
1,1026,44,74,54,1.1,clIscA1,108,186.49447077409164,182.0,186.0,189.0
2,364,153,65,47,1.45,clIscA1,108,186.57612580414582,183.0,186.0,190.0
2,492,158,67,50,7.0,clIscA1,108,195.34181141439205,190.0,195.0,199.0
2,631,161,70,51,3.05,clIscA1,108,197.60594795539035,192.0,197.0,203.0
2,761,162,68,52,3.29,clIscA1,108,196.2118544600939,191.0,195.0,201.0
2,902,157,71,54,0.9,clIscA1,108,189.03687635574838,184.0,188.0,194.0
2,1032,155,73,53,2.1,clIscA1,108,200.5250137438153,194.0,201.0,204.0
3,360,266,64,47,0.62,clIscA1,108,192.9760479041916,187.0,195.0,196.0
3,491,267,67,51,3.14,clIscA1,108,192.34318766066838,186.0,192.0,196.0
3,631,263,68,51,2.68,clIscA1,108,194.5253512522908,189.0,195.0,198.0
3,773,261,71,52,0.2,clIscA1,108,190.96660909614278,186.0,191.0,196.0
3,901,257,71,52,0.71,clIscA1,108,190.07401129943503,183.0,189.0,196.0
3,1037,263,73,52,4.0,clIscA1,108,192.15658564160543,185.0,193.0,197.0
4,361,372,64,46,0.57,clIscA1,108,189.41234918381832,184.0,189.0,195.0
4,495,371,68,49,1.78,clIscA1,108,192.11553273427472,185.0,193.0,198.0
4,619,369,69,50,1.74,clIscA1,108,189.39721886336156,184.0,188.0,194.0
4,772,372,71,51,4.46,clIscA1,108,199.0618264322178,191.0,198.0,205.0
4,904,366,72,52,0.66,clIscA1,108,196.39637599094,189.0,196.0,201.0
4,1036,371,70,50,3.48,clIscA1,108,190.69899244332493,184.0,192.0,195.0
5,361,476,65,46,0.44,clIscA1,108,192.34857934857934,186.0,193.0,196.0
5,495,478,66,48,2.87,clIscA1,108,194.66820580474933,188.0,195.0,200.0
5,630,478,66,49,0.89,clIscA1,108,188.03735255570118,182.0,187.0,193.0
5,769,476,69,50,3.25,clIscA1,108,194.75766686710764,190.0,195.0,198.0
5,915,472,71,51,0.4,clIscA1,108,191.40557815223707,185.0,192.0,196.0
5,1036,477,70,51,2.0,clIscA1,108,185.52555168408827,178.0,186.0,191.0
6,361,583,65,47,0.33,clIscA1,108,187.5518417462483,181.0,186.0,193.0
6,487,579,66,48,1.62,clIscA1,108,197.50168577208362,191.0,196.0,204.0
6,634,577,66,48,7.18,clIscA1,108,207.18169398907105,203.0,207.0,212.0
6,767,580,65,48,5.43,clIscA1,108,211.20833333333334,205.0,211.0,216.0
6,904,582,70,50,0.2,clIscA1,108,192.0766129032258,185.0,192.0,197.0
6,1036,581,70,49,1.43,clIscA1,108,189.77541083384054,185.0,190.0,194.0
7,381,690,64,45,0.0001,clIscA1,108,187.26058865757358,183.0,186.0,192.0
7,508,687,62,45,3.55,clIscA1,108,200.7401764234162,194.0,202.0,206.0
7,632,684,58,45,8.27,clIscA1,108,204.34971334971334,197.0,204.0,210.0
7,764,681,60,45,4.46,clIscA1,108,205.60364842454393,200.0,206.0,210.0
